tenderer,winnerUrl,winner,amount,tendererUrl,date,title
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95368/MGM-FARM-d-o-o-Kakanj,MGM FARM d.o.o. Kakanj,"750,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Paracetamol tabl. 500mg
HT Eronet Mostar,/website/bih/company/preview/5092066/DIV-JELEČ-doo-Usora,DIV JELEČ doo Usora,"84.402,50 KM",/website/bih/company/preview/96051/HT-Eronet-Mostar,"
									objavljen : 28.10.2013,",Radovi na izgradnji i rekonstrukciji TK mreže Papratnica
HT Eronet Mostar,/website/bih/company/preview/96479/AGENCIJA-KAMIR-d-o-o-Široki-Brijeg,AGENCIJA KAMIR d.o.o. Široki Brijeg,"100.000,00 KM",/website/bih/company/preview/96051/HT-Eronet-Mostar,"
									objavljen : 28.10.2013,",Nabava usluge nadzora i održavanja sustava tehničke zaštite objekata JP HT dd Mostar
HT Eronet Mostar,/website/bih/company/preview/95311/AVA-COM-GROUP-d-o-o-Mostar,AVA COM GROUP d.o.o. Mostar,"118.816,00 KM",/website/bih/company/preview/96051/HT-Eronet-Mostar,"
									objavljen : 28.10.2013,",Proširenje kapaciteta servisnih platformi
HT Eronet Mostar,,,"1.676.440,00 KM",/website/bih/company/preview/96051/HT-Eronet-Mostar,"
									objavljen : 28.10.2013,",Nadogradnja komutacijskih i upravljačkih sustava
HT Eronet Mostar,,,"846.862,00 KM",/website/bih/company/preview/96051/HT-Eronet-Mostar,"
									objavljen : 28.10.2013,",Nabava DWDM i SDH opreme
Federalna direkcija za civilnu avijaciju/Federalna direkcija za civilno zrakoplovstvo Mostar,,,"274.929,00 KM",/website/bih/company/preview/96371/Federalna-direkcija-za-civilnu-avijaciju-Federalna-direkcija-za-civilno-zrakoplovstvo-Mostar,"
									objavljen : 28.10.2013,","Nabavka usluge modofikacije-nadogradnje DIVOS sistema snimanja (komunikacijski sistem A/G G/G APP i TNjR) koji je instaliran na Centru kontrole zračnog prometa Sarajevo za potrebe
Federalne direkcije za civilnu avijaciju-Federalne direkcije za civilno zrakoplovstvo"
Općina Ilijaš,/website/bih/company/preview/95794/TB-INŽENJERING-d-o-o-Breza,TB INŽENJERING d.o.o Breza,"334.888,00 KM",/website/bih/company/preview/96494/Općina-Ilijaš,"
									objavljen : 28.10.2013,","Radovi na izgradnji mosta dužine cca 20m, obuhvataju iskope i AB radove, asfaltiranje i postavljanje zaštitne ograde na mostu, radovi na izgradnji puta dužine 370 m ,obuhvataju iskope, nasipe, betoniranja, postavljanje ivičnjaka, asfaltiranje izradu pješačke
staze i ostale radove"
KJP ZOI 84 OCS d.o.o. Sarajevo,/website/bih/company/preview/96137/HIFA-PETROL-d-o-o-Sarajevo,HIFA PETROL d.o.o. Sarajevo,"39.798,00 KM",/website/bih/company/preview/99502/KJP-ZOI-84-OCS-d-o-o-Sarajevo,"
									objavljen : 28.10.2013,","Nabavka i sukcesivna isporuka goriva za motorna vozila, eurodiesel EN -590 za potrebe
tehničke baze na Bjelašnici"
KJP ZOI 84 OCS d.o.o. Sarajevo,/website/bih/company/preview/96137/HIFA-PETROL-d-o-o-Sarajevo,HIFA PETROL d.o.o. Sarajevo,"26.652,80 KM",/website/bih/company/preview/99502/KJP-ZOI-84-OCS-d-o-o-Sarajevo,"
									objavljen : 28.10.2013,",Nabavka i sukcesivna isporuka lož ulja 1002 BAS -LU EL za potrebe kotlovnice zgrade uprave ul.Branilaca Sarajeva 21
JP Šume Tuzlanskog kantona d.d. Kladanj,/website/bih/company/preview/5059256/SP-Studenac-Kladanj,SP Studenac Kladanj,"39.217,50 KM",/website/bih/company/preview/95050/JP-Šume-Tuzlanskog-kantona-d-d-Kladanj,"
									objavljen : 28.10.2013,",Nabavka usluga na iskorištavanju šuma ŠG Sprečko
JP Šume Tuzlanskog kantona d.d. Kladanj,/website/bih/company/preview/97427/FAHRAS-d-o-o-Kladanj,FAHRAS d.o.o.Kladanj,"90.476,00 KM",/website/bih/company/preview/95050/JP-Šume-Tuzlanskog-kantona-d-d-Kladanj,"
									objavljen : 28.10.2013,","Sječa i izrada, primicanje i izvoz oblovine na međustovarište i sječa i izrada cijepanog drveta"
JP Šume Tuzlanskog kantona d.d. Kladanj,/website/bih/company/preview/5090008/SP-Gračanica-Živinice,SP Gračanica Živinice,"52.220,00 KM",/website/bih/company/preview/95050/JP-Šume-Tuzlanskog-kantona-d-d-Kladanj,"
									objavljen : 28.10.2013,",Primicanje oblovine na relaciji panj- traktorska vlaka
KJKP Vodovod i kanalizacija Sarajevo,/website/bih/company/preview/103866/KONVAR-d-o-o-Sarajevo,KONVAR d.o.o. Sarajevo,"42.905,60 KM",/website/bih/company/preview/96868/KJKP-Vodovod-i-kanalizacija-Sarajevo,"
									objavljen : 28.10.2013,",Zamjenski kontakteri
KJKP Vodovod i kanalizacija Sarajevo,/website/bih/company/preview/95700/SVJETLOST-ŠTAMPA-d-o-o-Sarajevo,SVJETLOST-ŠTAMPA d.o.o. Sarajevo,"3.499,50 KM",/website/bih/company/preview/96868/KJKP-Vodovod-i-kanalizacija-Sarajevo,"
									objavljen : 28.10.2013,","Obrasci i tiskanice, blokovski obrasci, knjige tvrdi povez i mehanografski obrasci"
JU Federalni zavod MIO/PIO Mostar,/website/bih/company/preview/102130/ERC-ZIPO-d-o-o-Sarajevo,ERC ZIPO d.o.o. Sarajevo,"76.296,20 KM",/website/bih/company/preview/95736/JU-Federalni-zavod-MIO-PIO-Mostar,"
									objavljen : 28.10.2013,",Nabavka računala za potrebe Federalnog zavoda za mirovinsko/penzijsko i invalidsko osiguranje
ZAVOD ZA ZDRAVSTVENO OSIGURANJE ŽSB/SBK,/website/bih/company/preview/102131/ORTO-PRO-s-o-d-Vitez,ORTO - PRO s.o.d. Vitez,"14.837,60 KM",/website/bih/company/preview/5032146/ZAVOD-ZA-ZDRAVSTVENO-OSIGURANJE-ŽSB-SBK,"
									objavljen : 28.10.2013,","Proteze za gornje ekstremitete, proteze za donje ekstremitete, ortopedske cipele i ortoze za donje ekstremitete"
ZAVOD ZA ZDRAVSTVENO OSIGURANJE ŽSB/SBK,/website/bih/company/preview/102131/ORTO-PRO-s-o-d-Vitez,ORTO - PRO s.o.d. Vitez,"940,18 KM",/website/bih/company/preview/5032146/ZAVOD-ZA-ZDRAVSTVENO-OSIGURANJE-ŽSB-SBK,"
									objavljen : 28.10.2013,",Ortoze za gornje ekstremitete
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95130/Tuzla-Farm-d-o-o-Tuzla,Tuzla Farm d.o.o. Tuzla,"4.430,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Tupferi sa RTG niti- sterilni i ovojnice za mozak- vještačke
ZAVOD ZA ZDRAVSTVENO OSIGURANJE ŽSB/SBK,/website/bih/company/preview/95093/Otto-Bock-Adria-d-o-o-Sarajevo,Otto Bock Adria d.o.o. Sarajevo,"180,00 KM",/website/bih/company/preview/5032146/ZAVOD-ZA-ZDRAVSTVENO-OSIGURANJE-ŽSB-SBK,"
									objavljen : 28.10.2013,","Štake,"
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/95130/Tuzla-Farm-d-o-o-Tuzla,Tuzla Farm d.o.o. Tuzla,"2.450,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Koštana pasta
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/5084487/Osteo-med-d-o-o-Sarajevo,Osteo-med d.o.o. Sarajevo,"11.400,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Implantati za fuziju vratne kičme i materijal za stražnju stabilizaciju torakolumbalne kičme
ZAVOD ZA ZDRAVSTVENO OSIGURANJE ŽSB/SBK,/website/bih/company/preview/103539/ORTOPEDIJA-INTERNATIONAL-d-o-o-Sarajevo,ORTOPEDIJA INTERNATIONAL d.o.o. Sarajevo,"3.700,00 KM",/website/bih/company/preview/5032146/ZAVOD-ZA-ZDRAVSTVENO-OSIGURANJE-ŽSB-SBK,"
									objavljen : 28.10.2013,","Invalidska kolica, Proteze dojki i Sanitarne sprave i pomagala"
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/96790/MEDICALLUX-d-o-o-Tuzla,MEDICALLUX  d.o.o. Tuzla,"201.760,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Totalna bezcementna proteza kuka i reviziona proteza kuka
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/96789/SAMED-d-o-o-Sarajevo,SAMED d.o.o. Sarajevo,"183.350,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Totalna proteza koljena i reviziona proteza koljena
Klinički centar Univerziteta u Sarajevu,/website/bih/company/preview/96879/MEDIMPEX-d-o-o-Sarajevo,MEDIMPEX d.o.o. Sarajevo,"44.219,00 KM",/website/bih/company/preview/95631/Klinički-centar-Univerziteta-u-Sarajevu,"
									objavljen : 28.10.2013,",Hirurški šivaći materijal za potrebe O.J. Centar za srce KCUS-a za 30 pacijenata za Bypass operacije i 50 adultnih pacijenata koji su na listi hitnih operacija
RMU Banovići,/website/bih/company/preview/5019366/FISKO-TRADE-d-o-o-BANOVIĆI, FISKO-TRADE d.o.o. BANOVIĆI,"300.000,00 KM",/website/bih/company/preview/95734/RMU-Banovići,"
									objavljen : 28.10.2013,",Angažovanje fizičke radne snage
RMU Banovići,/website/bih/company/preview/5091697/EU-EXPLOSIVE-DOO-Zenica,EU EXPLOSIVE DOO Zenica,"846.168,00 KM",/website/bih/company/preview/95734/RMU-Banovići,"
									objavljen : 28.10.2013,",Eksploziv i eksplozivna sredstva
RMU Banovići,/website/bih/company/preview/5091697/EU-EXPLOSIVE-DOO-Zenica,EU EXPLOSIVE DOO Zenica,"25.740,00 KM",/website/bih/company/preview/95734/RMU-Banovići,"
									objavljen : 28.10.2013,",Eksploziv za izvođenje probnih miniranja
RMU Banovići,/website/bih/company/preview/95493/Sarajevo-osiguranje-d-d-Sarajevo,Sarajevo osiguranje d.d. Sarajevo,"117.600,00 KM",/website/bih/company/preview/95734/RMU-Banovići,"
									objavljen : 28.10.2013,",Kolektivno osiguranje radnika od posljedica nesretnog slučaja
RMU Banovići,/website/bih/company/preview/96632/ELEKTROREMONT-d-d-Banovići,ELEKTROREMONT d.d. Banovići,"80.000,00 KM",/website/bih/company/preview/95734/RMU-Banovići,"
									objavljen : 28.10.2013,",Opravka-ravizija transformatora
RMU Banovići,/website/bih/company/preview/96632/ELEKTROREMONT-d-d-Banovići,ELEKTROREMONT d.d. Banovići,"80.000,00 KM",/website/bih/company/preview/95734/RMU-Banovići,"
									objavljen : 28.10.2013,",Opravka-revizija električnih mašina u ex izvedbi
ZAVOD ZA ZDRAVSTVENO OSIGURANJE ŽSB/SBK,/website/bih/company/preview/5084783/ASISTANSIA-d-o-o-Sarajevo,ASISTANSIA d.o.o. Sarajevo,"485,25 KM",/website/bih/company/preview/5032146/ZAVOD-ZA-ZDRAVSTVENO-OSIGURANJE-ŽSB-SBK,"
									objavljen : 28.10.2013,",Oprička pomagala
"JP Elektroprivreda BiH d.d. Sarajevo, Podružnica Termoelektrana Tuzla u Tuzli",/website/bih/company/preview/96875/TEHNOGRAD-d-o-o-Tuzla,TEHNOGRAD d.o.o.Tuzla,"48.592,50 KM",/website/bih/company/preview/5003370/JP-Elektroprivreda-BiH-d-d-Sarajevo-Podružnica-Termoelektrana-Tuzla-u-Tuzli,"
									objavljen : 28.10.2013,",Usluge građevinskih mašina sa rukovaocima za potrebe redovnog održavanja građevinskih objekata
Međunarodni aerodrom SARAJEVO d.o.o. Sarajevo,/website/bih/company/preview/101181/CT-Retail-d-o-o-Sarajevo,CT Retail d.o.o. Sarajevo,"84.490,20 KM",/website/bih/company/preview/95727/Međunarodni-aerodrom-SARAJEVO-d-o-o-Sarajevo,"
									objavljen : 28.10.2013,",FIDS paneli (monitori i nosači)
RMU Banovići,/website/bih/company/preview/96701/Reumal-Fojnica,Reumal Fojnica,"89.280,00 KM",/website/bih/company/preview/95734/RMU-Banovići,"
									objavljen : 28.10.2013,",Liječenje i rehabilitacija zaposlenika RMU Banovići
Izborna komisija BiH Sarajevo,/website/bih/company/preview/5085872/FACIT-d-o-o-Sarajevo,FACIT d.o.o. Sarajevo,"2.050,00 KM",/website/bih/company/preview/96962/Izborna-komisija-BiH-Sarajevo,"
									objavljen : 28.10.2013,",Kolor printer
HE Dabar d.o.o. Trebinje,/website/bih/company/preview/95807/H-P-INVESTING-Mostar,H.P. INVESTING Mostar,"1.320.650,00 KM",/website/bih/company/preview/5089544/HE-Dabar-d-o-o-Trebinje,"
									objavljen : 28.10.2013,",Izvođenje radova prema Glavnom projektu Glavni vodovod
Opšta bolnica Sveti Vračevi Bijeljina,/website/bih/company/preview/97051/MEDICAL-d-o-o-Mostar,MEDICAL d.o.o. Mostar,"21.500,00 KM",/website/bih/company/preview/98754/Opšta-bolnica-Sveti-Vračevi-Bijeljina,"
									objavljen : 28.10.2013,",Servisiranje aparata - Magnetna rezonanca Signa HD xt. 1.5.T
Opšta bolnica Sveti Vračevi Bijeljina,/website/bih/company/preview/95942/BROMA-BEL-d-o-o-Laktaši,BROMA BEL d.o.o. Laktaši,"10.861,20 KM",/website/bih/company/preview/98754/Opšta-bolnica-Sveti-Vračevi-Bijeljina,"
									objavljen : 28.10.2013,",Reagensi i potrošni materijal za aparat Biosen C
Opšta bolnica Sveti Vračevi Bijeljina,/website/bih/company/preview/95942/BROMA-BEL-d-o-o-Laktaši,BROMA BEL d.o.o. Laktaši,"1.973,28 KM",/website/bih/company/preview/98754/Opšta-bolnica-Sveti-Vračevi-Bijeljina,"
									objavljen : 28.10.2013,",Reagensi i potrošni materijal za potrebe Službe za laboratorijsku dijagnostiku
Opšta bolnica Sveti Vračevi Bijeljina,/website/bih/company/preview/96959/MEDICOM-d-o-o-Bijeljina,MEDICOM d.o.o. Bijeljina,"166.957,00 KM",/website/bih/company/preview/98754/Opšta-bolnica-Sveti-Vračevi-Bijeljina,"
									objavljen : 28.10.2013,",Reagensi i potrošni materijal za aparat Elecsys 2010 - Roche
JP Komunalno Brčko d.o.o. Brčko Distrikt BiH,/website/bih/company/preview/101212/ALCOOP-d-o-o-Brčko-Distrikt-BiH,ALCOOP d.o.o. Brčko Distrikt BiH,"15.000,00 KM",/website/bih/company/preview/105163/JP-Komunalno-Brčko-d-o-o-Brčko-Distrikt-BiH,"
									objavljen : 28.10.2013,",Nabavka servisiranja i zamjene rezervnih dijelova printera
JAVNO PREDUZEĆE VODOKOM d.o.o. Kakanj,/website/bih/company/preview/107855/VIBRATECH-d-o-o-Visoko,VIBRATECH d.o.o. Visoko,"100.500,00 KM",/website/bih/company/preview/97934/JAVNO-PREDUZEĆE-VODOKOM-d-o-o-Kakanj,"
									objavljen : 28.10.2013,",Kamion smećar sa nadogradnjom (rabljeno vozilo) i kamion kiper 4x4 (rabljeno vozilo)
JKP PANNONICA d.o.o. Tuzla,/website/bih/company/preview/97330/HEMIJA-PATENTING-d-o-o-Lukavac,HEMIJA PATENTING d.o.o. Lukavac,"78.089,90 KM",/website/bih/company/preview/102968/JKP-PANNONICA-d-o-o-Tuzla,"
									objavljen : 28.10.2013,",Nabavka hemikalija i sredstava za tertman jezerske vode na kompleksu Panonskih jezerau Tuzli za ljetnu sezonu 2013.
JKP PANNONICA d.o.o. Tuzla,/website/bih/company/preview/5088315/SKI-JET-d-o-o-Tuzla,SKI - JET d.o.o. Tuzla,"142.500,00 KM",/website/bih/company/preview/102968/JKP-PANNONICA-d-o-o-Tuzla,"
									objavljen : 28.10.2013,",Nabavka usluga spasilačko-redarske službe na kompleksu Panonskih jezera u Tuzli za ljetnu sezonu 2013
JU Zavod za zaštitu djece i omladine Pazarić,/website/bih/company/preview/95368/MGM-FARM-d-o-o-Kakanj,MGM FARM d.o.o. Kakanj,"111.971,00 KM",/website/bih/company/preview/100132/JU-Zavod-za-zaštitu-djece-i-omladine-Pazarić,"
									objavljen : 28.10.2013,",Nabavka lijekova i sanitetskog materijala
JU Zavod za zaštitu djece i omladine Pazarić,/website/bih/company/preview/95501/GOLD-MIGNON-d-o-o-Sarajevo,GOLD MIGNON d.o.o. Sarajevo,"192.028,00 KM",/website/bih/company/preview/100132/JU-Zavod-za-zaštitu-djece-i-omladine-Pazarić,"
									objavljen : 28.10.2013,",Nabavka prehrambenih proizvoda
Pravobranilaštvo - Pravobraniteljstvo Bosne i Hercegovine,/website/bih/company/preview/97060/ASA-PVA-d-o-o-Sarajevo,ASA PVA d.o.o. Sarajevo,"102.564,00 KM",/website/bih/company/preview/96152/Pravobranilaštvo-Pravobraniteljstvo-Bosne-i-Hercegovine,"
									objavljen : 28.10.2013,",Nabavka službenih vozila srednje klase-3 (tri) komada
JP Vodovod i kanalizacija a.d. Pale,/website/bih/company/preview/97173/HIDRO-TERMO-CENTAR-d-o-o-Sarajevo,HIDRO - TERMO CENTAR d.o.o. Sarajevo,"44.103,60 KM",/website/bih/company/preview/99099/JP-Vodovod-i-kanalizacija-a-d-Pale,"
									objavljen : 28.10.2013,","Spojnice, poluspojnice, mufe, koljena, ventili, redukcije, ogrlice itd. Precizan opis u Tenderskoj dokumentaciji"
JU MUZEJ SJEVERNA HERCEGOVINA JABLANICA,/website/bih/company/preview/5084627/EKO-GRADNJA-d-o-o-Sarajevo,EKO-GRADNJA d.o.o. Sarajevo,"36.902,00 KM",/website/bih/company/preview/5029795/JU-MUZEJ-SJEVERNA-HERCEGOVINA-JABLANICA,"
									objavljen : 28.10.2013,",Radovi na sanaciji ravnog krova Muzeja Bitka za ranjenike na Neretvi Jablanica-faza III
IDDEEA BiH,/website/bih/company/preview/95544/TELEGROUP-d-o-o-Banja-Luka,TELEGROUP d.o.o. Banja Luka,"139.889,00 KM",/website/bih/company/preview/5082875/IDDEEA-BiH,"
									objavljen : 28.10.2013,",Nabavka mrežne opreme
Međunarodni aerodrom SARAJEVO d.o.o. Sarajevo,/website/bih/company/preview/5044487/ZZR-SOFIĆ-Sarajevo,ZZR SOFIĆ Sarajevo,"20.000,00 KM",/website/bih/company/preview/95727/Međunarodni-aerodrom-SARAJEVO-d-o-o-Sarajevo,"
									objavljen : 28.10.2013,",Autohtoni suveniri i nakit sa obilježjima BiH
IDDEEA BiH,/website/bih/company/preview/95084/MRG-eksport-import-d-o-o-Banja-Luka,MRG eksport-import d.o.o. Banja Luka,"78.248,00 KM",/website/bih/company/preview/5082875/IDDEEA-BiH,"
									objavljen : 28.10.2013,",Nabavka hardwera-opreme za personalizaciju identifikacionih dokumenata
IDDEEA BiH,/website/bih/company/preview/100184/UNIONKOMERC-d-o-o-Sarajevo,UNIONKOMERC d.o.o. Sarajevo,"66.666,70 KM",/website/bih/company/preview/5082875/IDDEEA-BiH,"
									objavljen : 28.10.2013,",Nabavka avio karata i usluga organizovanja putovanja
IDDEEA BiH,/website/bih/company/preview/96546/Dunav-Osiguranje-a-d-Banja-Luka,Dunav Osiguranje a.d. Banja Luka,"33.827,90 KM",/website/bih/company/preview/5082875/IDDEEA-BiH,"
									objavljen : 28.10.2013,",Nabavka usluga registracije motornih vozila sa kasko osiguranjem
Opšta bolnica Sveti Apostol Luka Doboj,/website/bih/company/preview/95713/NESTRO-PETROL-a-d-Banja-Luka,NESTRO PETROL a.d. Banja Luka,"60.871,80 KM",/website/bih/company/preview/98182/Opšta-bolnica-Sveti-Apostol-Luka-Doboj,"
									objavljen : 28.10.2013,","Gorivo, ulje i mazivo"
BH Telecom d.d. Sarajevo,/website/bih/company/preview/5086131/SIMCO-d-o-o-Sarajevo,SIMCO d.o.o. Sarajevo,"3.764.970,00 KM",/website/bih/company/preview/92644/BH-Telecom-d-d-Sarajevo,"
									objavljen : 28.10.2013,",Nabavka SET TOP BOX uređaja
